Compound No.,SMILES,pIC50 (IC50 in microM),MW,logP,rotatable_bonds,TPSA,ring_count,heavy_atoms,HBA,HBD
1,FC1=CC(Cl)=C(CN2C(=O)C(=O)C3=CC(I)=CC=C23)C=C1,-0.973127854,415.589,3.813200000000002,2,37.38,3.0,21.0,2.0,0.0
2,CC1=NC(SCC(=O)NC2=CC=C(Cl)C=C2F)=NC(=C1)C(F)(F)F,-2.698970004,379.766,4.327120000000002,4,54.88,2.0,24.0,4.0,1.0
3,ClC1=CC(OC(=O)C2=CC3=C(OC2=O)C=CC=C3)=CN=C1,0.966576245,301.685,3.060600000000001,2,69.4,3.0,21.0,5.0,0.0
4,COC(=O)C1(C)CCCC2=C3C(=O)C(=O)C4=C(OC=C4C)C3=CC=C12,-1.324282455,338.35900000000004,3.4010200000000026,1,73.58000000000001,4.0,25.0,5.0,0.0
5,FC(F)(F)C1=CC=C(NC(=O)CSC2=NC(=CC=N2)C2=CC(=NO2)C2=CC=C(Cl)C=C2Cl)C=C1,-1.176091259,525.3390000000002,6.855000000000002,6,80.91000000000001,4.0,34.0,6.0,1.0
7,COC1=CC=CC(=C1)C1=C(C#N)C(=O)NC(SCC(=O)NC2=CC=C(C=C2)C(C)=O)=N1,-1.77815125,434.4770000000002,3.250580000000001,7,124.93999999999998,3.0,31.0,7.0,2.0
8,CC1CC(C)CN(C1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1,-0.633468456,322.3860000000001,1.488,2,83.55000000000001,3.0,22.0,4.0,1.0
9,ClC1=C2C(=O)C(=O)N(CC3=CC4=CC=CC=C4S3)C2=CC=C1,-1.049218023,327.79200000000003,4.284200000000002,2,37.38,4.0,22.0,3.0,0.0
10,CN1C(=O)C(=O)C2=C1C=CC(=C2)S(=O)(=O)N1CCOCC1,-0.996073654,310.33100000000013,-0.13339999999999996,2,83.99000000000001,3.0,21.0,5.0,0.0
11,O=C1N(CC2=CC=CC=C2)C2=C(C=C(C=C2)S(=O)(=O)N2CCOCC2)C1=O,-1.14176323,386.42900000000026,1.437,4,83.99000000000001,4.0,27.0,5.0,0.0
13,COC1=CC(CN2CCN(CC2)S(=O)(=O)C2=CC3=C(NC(=O)C3=O)C=C2)=CC(OC)=C1OC,-1.50623436,475.52300000000025,1.3537000000000001,7,114.48000000000002,4.0,33.0,8.0,1.0
14,CC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,-0.017033339,398.48400000000015,2.8367000000000013,4,74.76,4.0,28.0,4.0,0.0
15,CSC1=NNC(NC(=O)C2=CC=CS2)=C1S(=O)(=O)C1=CC=C(Cl)C=C1,-1.176091259,413.9330000000001,3.931600000000002,5,91.91999999999999,3.0,25.0,6.0,2.0
16,ClC1=CC=C(C=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,1.200659451,334.158,4.867600000000002,3,52.33,3.0,22.0,4.0,0.0
17,[O-][N+](=O)C1=CC(=CC=C1S(=O)(=O)C1=CC=C(Cl)C=C1)C(F)(F)F,-1.079181246,365.716,4.099800000000001,3,77.28,2.0,23.0,4.0,0.0
